Vertex Count: 36

Data:
0.9	-6	60	0.00199199	0.001992	0	0	-1
-0.9	6	-60	0.998008	0.998008	0	0	-1
-0.9	-6	-60	0.998008	0.001992	0	0	-1
-0.9	6	60	0.00199199	0.998008	0	0	-1
-0.9	6	-60	0.998008	0.998008	0	0	-1
-0.9	-6	60	0.00199199	0.001992	0	0	-1
0.9	-6	60	0.00199199	0.099801	0	1	0
-0.9	6	60	0.998008	0.000199	0	1	0
-0.9	-6	60	0.00199199	0.000199	0	1	0
0.9	6	60	0.998008	0.099801	0	1	0
-0.9	6	60	0.998008	0.000199	0	1	0
0.9	-6	60	0.00199199	0.099801	0	1	0
0.9	-6	-60	0.00199199	0.001992	0	0	1
0.9	6	60	0.998008	0.998008	0	0	1
0.9	-6	60	0.998008	0.001992	0	0	1
0.9	6	-60	0.00199199	0.998008	0	0	1
0.9	6	60	0.998008	0.998008	0	0	1
0.9	-6	-60	0.00199199	0.001992	0	0	1
-0.9	-6	-60	0.00199199	0.099801	0	-1	0
0.9	6	-60	0.998008	0.000199	0	-1	0
0.9	-6	-60	0.00199199	0.000199	0	-1	0
-0.9	6	-60	0.998008	0.099801	0	-1	0
0.9	6	-60	0.998008	0.000199	0	-1	0
-0.9	-6	-60	0.00199199	0.099801	0	-1	0
-0.9	6	60	0.00199199	0.000199	1	0	0
0.9	6	-60	0.998008	0.099801	1	0	0
-0.9	6	-60	0.998008	0.000199	1	0	0
0.9	6	60	0.00199199	0.099801	1	0	0
0.9	6	-60	0.998008	0.099801	1	0	0
-0.9	6	60	0.00199199	0.000199	1	0	0
0.9	-6	60	0.00199199	0.000199	-1	0	0
-0.9	-6	-60	0.998008	0.099801	-1	0	0
0.9	-6	-60	0.998008	0.000199	-1	0	0
-0.9	-6	60	0.00199199	0.099801	-1	0	0
-0.9	-6	-60	0.998008	0.099801	-1	0	0
0.9	-6	60	0.00199199	0.000199	-1	0	0













